LINE_NO,LABEL_NO,bianma,dwell_time
303,32,553,0.067174710697149
337,5,554,0.595139235574172
329,4,555,0.595358408318823
329,6,556,0.613973279648609
312,7,557,0.607398615822169
812,26,558,0.0
812,25,559,0.0
812,24,560,0.0
812,23,561,0.0
812,12,562,0.709215592424891
819,13,563,0.0
325,46,564,0.0
889,41,565,0.002322035073127
K25,22,566,0.0
K24,7,567,0.0
K22,6,568,0.292038972717153
K25,5,569,0.0
K24,13,570,0.18824976066272
K24,15,571,0.0
889,50,572,0.0
65,35,573,0.020208023774145
809,15,574,0.0
889,51,575,0.0
889,53,576,0.0
67,25,577,0.354784422330393
K88,10,578,0.308074337550304
K88,11,579,0.299617833442276
K60,11,580,0.0
K60,12,581,0.0
326,24,582,0.007670497696319
K185,12,583,0.0
811,9,584,0.0
811,10,585,0.0
K170,1,586,0.0
K100,24,587,0.373553139731114
K100,25,588,0.51142485766418
K34,1,589,0.402795946548293
506,6,590,0.006866207604128
506,3,591,0.013863813416167
K66,1,592,0.0
K121,6,593,0.050413135627695
506,5,594,0.054148293578229
K52,30,595,0.008968014643073
K48,10,596,0.005533611227406
K52,27,597,0.100889339984562
K48,17,598,0.477394758042556
307,33,599,0.040244240910352
A318,25,600,0.159935750344194
307,34,601,0.04940327504857
B8,18,602,0.351397870459292
K106,22,603,0.640310683776132
K139,4,604,0.00376362931941
T20,11,605,0.539028861730708
325,16,606,0.106974162580918
K185,8,607,0.001620171130576
K163,14,608,0.099072644906361
311,19,609,0.14463673871633
K63,4,610,0.130096290418774
K47,23,611,0.185331376224921
K47,24,612,0.074066226186119
K122,30,613,0.34746918828525
K302,27,614,0.34884159693677
K29,6,615,0.310693875951803
K22,24,616,0.350669592018119
K29,1,617,0.0
K29,2,618,0.464493506493506
K153,8,619,1.035688793718772
K153,9,620,1.029264810849393
K175,17,621,1.025695931477516
K86,6,622,0.155529217553209
K92,29,623,0.179443710075569
K90,1,624,0.057296499708845
K9,3,625,0.309028255327593
T15,2,626,0.004095148522611
K172,13,627,0.082259619598562
K172,10,628,0.088533375861375
T15,1,629,0.0
K17,16,630,0.035711772570544
K61,3,631,0.590503502823019
K175,3,632,0.590622570310878
K302,22,633,0.546069172180408
K23,2,634,0.366909603921032
K302,24,635,0.543350928253249
K172,21,636,0.037744293599881
K172,20,637,0.037445919737431
K172,15,638,0.054843011274094
K172,16,639,0.054843011274094
K7,2,640,0.524202721489658
K141,14,641,0.430517245178473
T12,2,642,0.371339132215347
K78,19,643,0.326691777274852
K7,18,644,0.380867437489607
K96,9,645,0.424824200374709
K7,15,646,0.373648073166625
K90,8,647,0.210376578060969
K156,12,648,0.198172580070849
K61,18,649,0.30549248246193
523,2,650,0.24916659345322
K128,6,651,0.12818709176565
K58,19,652,0.233743692381358
K74,21,653,0.164287231248614
K92,16,654,0.106146191245642
T4,11,655,0.18784723759515
32,20,656,0.230170948446079
K41,32,657,0.184163766496467
K80,6,658,0.278524897534325
K113,10,659,0.455179352721426
K168,2,660,0.416153250213452
K70,15,661,0.35327589727394
K57,16,662,0.151082899815976
K113,13,663,0.326668749349162
K57,18,664,0.363051514497341
K16,28,665,0.273276925266892
K36,27,666,0.519151769730895
K55,16,667,0.313290507908768
K37,10,668,0.307852695781818
K48,32,669,0.411120693497221
311,31,670,0.012054546484667
311,30,671,0.020520753615998
K301,24,672,0.125779592361602
K159,13,673,0.022545183528973
K159,15,674,0.033272883740164
812,33,675,0.0
812,32,676,0.0
812,30,677,0.0
812,31,678,0.0
812,27,679,0.0
812,28,680,0.0
883,57,681,0.0
883,60,682,0.0
321,9,683,0.482768330042889
K10,31,684,0.453234524451567
K10,32,685,0.241398989579244
A10,13,686,0.308110079618537
K10,36,687,0.032509685751184
A10,12,688,0.551118735777912
K73,26,689,0.010467535311508
K73,25,690,0.010752217234206
K73,27,691,0.010927406109712
K183,19,692,0.0
305,27,693,0.0
305,24,694,0.0
325,28,695,0.0
303,31,696,0.074230877787186
337,2,697,0.387308758064622
325,38,698,0.504256215760641
303,34,699,0.0
312,3,700,0.612973227358293
329,11,701,0.605311117827107
312,2,702,0.61219540891027
818,23,703,2.111111111111111
883,49,704,1.888888888888889
883,55,705,0.0
885,56,706,0.0
817,17,707,0.0
886,41,708,0.0
67,48,709,0.707358989853754
809,10,710,0.02551411641687
809,9,711,0.024468455907982
331,5,712,0.0
333,4,713,0.0
333,5,714,0.0
325,45,715,0.0
333,11,716,0.0
812,17,717,0.852595160385709
65,38,718,0.040493693361083
889,45,719,0.0
65,37,720,0.002287377833229
65,40,721,0.016906059105168
889,46,722,0.0
889,47,723,0.0
889,44,724,0.017929668152551
331,9,725,0.0
332,11,726,0.0
K25,20,727,0.0
K24,8,728,0.0
K302,7,729,0.287912735849057
K302,6,730,0.279982642746758
K75,4,731,0.375806661958661
K75,2,732,0.203853023293288
K75,5,733,0.327825044562693
K302,15,734,0.295470313255087
K302,17,735,0.344797807663965
K301,7,736,0.296006200986608
K141,32,737,0.187473144666757
K141,24,738,0.161753740732917
K141,23,739,0.137281329052583
K60,14,740,0.0
K60,13,741,0.0
K60,15,742,0.0
A142,16,743,0.0
880,7,744,0.0
880,10,745,0.0
K60,17,746,0.0
880,11,747,0.0
323,22,748,0.0
326,22,749,0.007898334261556
326,23,750,0.006784466609286
326,19,751,0.007290770087591
811,8,752,0.0
816,11,753,0.0
882,20,754,0.0
K88,7,755,0.386616135432127
881,4,756,0.76380993755091
K121,9,757,0.004574329332945
K48,4,758,0.008365256104029
K155,5,759,0.091801749580397
K43,2,760,0.121124874832045
K155,4,761,0.076140766005513
K41,11,762,0.002189084349798
K164,11,763,0.043402830465439
A142,11,764,0.262681030341616
K93,34,765,0.163170465634648
K41,22,766,0.068406329445804
K54,6,767,0.330334149073996
K137,13,768,0.510562332197758
K79,22,769,0.136886320639837
K59,24,770,0.330296381898054
K46,6,771,0.28504582870869
B4,12,772,0.255916196061617
K62,14,773,0.293096005150105
K122,27,774,0.253152960362602
K47,20,775,0.196943219256825
K40,15,776,0.383304380651986
K146,6,777,0.220487823718413
306,8,778,0.174328844777788
K123,4,779,0.238339423025494
K40,12,780,0.284607016395106
323,8,781,0.0
K73,9,782,0.413310886962766
509,13,783,0.002906068554923
509,15,784,0.002749461933256
K13,7,785,0.295205253032977
K6,16,786,0.280431073540462
K27,13,787,0.199156691528847
K92,22,788,0.0
K29,11,789,0.209652189001646
K6,24,790,0.273226527589914
K74,8,791,0.023028375490732
K120,6,792,0.00275280733296
K120,9,793,0.037192965343719
K74,7,794,0.024821847391513
K94,25,795,0.025566513361292
K124,4,796,0.160761745777231
K124,5,797,0.159718408856283
K124,2,798,0.159421881520856
K90,7,799,0.188012226499174
K9,5,800,0.401136857861447
K142,20,801,0.06737941322725
K142,21,802,0.063183739433118
K142,19,803,0.216122307157748
A142,18,804,0.132435294623949
K142,18,805,0.225130620544102
K142,16,806,0.262193395619386
T15,5,807,0.461084275784848
T12,1,808,0.0
K61,10,809,0.589934685520193
K81,2,810,0.03315234178052
K61,7,811,0.410188851506601
K128,19,812,0.236510959159737
K151,30,813,0.168751768565674
B1,7,814,0.365556764906653
K53,11,815,0.248941154186798
K14,6,816,0.362692436855059
503,3,817,0.105748424626963
K87,14,818,0.239664464831828
K131,15,819,0.41664873998253
K161,28,820,0.269774037123218
119,14,821,0.17801761440216
T202,20,822,0.368717382782628
T19,3,823,0.305496713563398
K63,17,824,0.09927813523465
504,6,825,0.046090652737147
311,7,826,0.300461893148588
K80,7,827,0.311550239627579
K123,18,828,0.418544161547613
K103,2,829,0.102325647841347
K113,19,830,0.154191041376491
B2,3,831,0.326018308025632
K3,6,832,0.146097471692431
950,2,833,0.015365806218567
K112,15,834,0.28621293310676
K159,12,835,0.027203279299422
K159,8,836,0.016582820942799
K159,7,837,0.014719582634619
882,2,838,0.0
K10,34,839,0.245512858946081
517,9,840,0.0
A303,29,841,0.0
K183,23,842,0.0
303,29,843,0.118888592038472
303,30,844,0.121293080416778
303,28,845,0.120224418915308
334,2,846,0.010632373044403
889,48,847,0.0
330,8,848,0.0
330,7,849,0.0
331,10,850,0.0
882,9,851,0.0
882,6,852,0.0
887,14,853,0.0
885,55,854,0.0
886,45,855,0.0
885,54,856,0.0
885,52,857,0.0
817,16,858,0.0
882,12,859,0.0
882,10,860,0.0
813,12,861,0.0
817,15,862,0.0
812,11,863,0.709084286010784
325,48,864,0.0
332,9,865,0.0
333,6,866,0.0
333,8,867,0.0
815,24,868,0.783140495867769
812,22,869,0.0
812,18,870,0.85090582280876
K141,33,871,0.210877893598017
K141,26,872,0.159335789189018
K60,18,873,0.0
809,16,874,0.0
809,18,875,0.0
813,8,876,0.0
882,13,877,0.0
816,8,878,0.0
813,10,879,0.0
65,27,880,0.022510863701382
65,20,881,0.036519177946189
882,19,882,0.0
504,11,883,0.311705641818076
K17,14,884,0.014845919851871
A142,13,885,0.136558131863368
506,7,886,0.146756784845556
502,8,887,0.096179797299896
512,1,888,0.113610880165258
K76,4,889,0.083690570524991
K155,10,890,0.068520243479209
K28,6,891,0.247909680609266
T4,8,892,0.125705718566816
K100,10,893,0.185626026242322
K93,31,894,0.141610432568313
K49,22,895,0.285139884846425
K2,13,896,0.26666644703091
K48,18,897,0.0
K54,17,898,0.333868965863163
K72,32,899,0.262574196148723
K171,2,900,0.296686545434562
T2,8,901,0.244513842043375
A303,1,902,0.366775950916743
325,2,903,0.487170284801065
K152,16,904,0.330358799402234
K160,28,905,0.509625712560207
K59,26,906,0.360433702576069
K49,6,907,0.387919855424221
T19,12,908,0.552899743843279
K138,23,909,0.004755940387373
K138,22,910,0.026923442828377
K138,16,911,0.084638542824423
K150,21,912,0.199390010846926
K168,15,913,0.362399302016061
K160,8,914,0.166038604040467
K163,23,915,0.090791036083536
K168,9,916,0.368977002448837
K166,15,917,0.390399638136781
K150,14,918,0.176148820301811
K123,2,919,0.301648747162249
K185,2,920,0.166993438993207
T20,12,921,0.334373438528523
K131,9,922,0.379872251298316
519,12,923,0.507158091330054
K40,1,924,0.177776386276318
119,16,925,0.197108100653928
519,2,926,0.06653241636025
K202,33,927,0.203069235358985
503,6,928,0.195686431220505
K139,10,929,0.0
312,45,930,0.265989059328749
519,10,931,0.209531440869266
K74,14,932,0.052813909112311
K41,20,933,0.124010441517219
K128,2,934,0.232122991005418
K94,24,935,0.0540884492438
K96,30,936,0.289885098189699
K5,18,937,0.337815491936674
K115,30,938,0.259513617610154
K85,22,939,0.494407090865257
K170,9,940,0.512163178247972
K47,1,941,0.174467761459107
K11,11,942,0.337407991417999
K55,18,943,0.371650420214816
116,3,944,0.262283322413359
K2,18,945,0.246433408754856
K31,14,946,0.52992393596461
K37,21,947,0.40832189877824
K95,2,948,0.335111246059073
K91,31,949,0.226096504377494
K106,31,950,0.258547856248291
K106,29,951,0.243279470140243
A10,35,952,0.334407938747023
K122,16,953,0.181552555856105
K123,14,954,0.17934960628543
K159,10,955,0.019564002235886
K159,11,956,0.023290478852245
K159,9,957,0.020868269051612
888,21,958,0.0
886,51,959,0.0
K183,15,960,0.0
305,21,961,0.166879512704078
338,5,962,0.0
326,4,963,0.009948863348691
65,41,964,0.017236255572065
312,16,965,0.538905815498627
326,15,966,0.00720638617454
326,18,967,0.007138879044099
326,11,968,0.006835096957116
65,33,969,0.020670298827803
65,34,970,0.020439161300974
818,26,971,1.111111111111111
885,49,972,0.0
883,47,973,2.833333333333333
818,21,974,2.166666666666667
886,44,975,0.0
886,43,976,0.0
812,14,977,0.707377302627399
819,27,978,0.0
819,25,979,0.0
819,26,980,0.0
886,47,981,0.0
886,46,982,0.0
885,51,983,0.0
819,5,984,0.0
812,20,985,0.762368802866827
K172,23,986,0.020886170371475
K172,22,987,0.021482918096375
K141,34,988,0.214682635495966
K141,35,989,0.220434888344747
K24,14,990,0.198651866197854
K141,39,991,0.196455307184076
K141,30,992,0.157684064036462
K20,17,993,0.153974103649955
813,9,994,0.0
815,6,995,0.758490361118653
882,17,996,0.0
881,7,997,0.756066250339397
888,7,998,0.0
65,26,999,0.018328866266065
K145,2,1000,0.65797126463309
510,4,1001,0.552653059782158
518,20,1002,0.506800563130975
K161,30,1003,0.094768478064812
K60,6,1004,0.209005133187047
K88,15,1005,0.143884296610515
502,12,1006,0.007283593239331
502,11,1007,0.007606400489195
882,24,1008,0.204858572158155
K88,28,1009,0.258509212113537
K94,18,1010,0.534155807442884
K129,7,1011,0.453813427244963
K76,9,1012,0.279832473276961
K54,3,1013,0.428737094561302
885,10,1014,0.22791069567338
K129,4,1015,0.421535914256161
K145,30,1016,0.0
323,11,1017,0.0
K185,9,1018,0.0
326,26,1019,0.007948964609387
K166,7,1020,0.254495098465434
K171,25,1021,0.257719292863191
K171,26,1022,0.324670860347808
K63,7,1023,0.390319376210527
K63,2,1024,0.057916029305209
K160,12,1025,0.294035853336642
116,21,1026,0.031781301213541
K93,22,1027,0.26217678464945
K110,14,1028,0.283603598830918
K151,21,1029,0.295186834531628
K64,21,1030,0.244431500666823
K169,20,1031,0.369825299433243
K110,11,1032,0.275801835971586
K64,15,1033,0.427356579377766
A303,26,1034,0.0
A303,25,1035,0.098316858135186
303,27,1036,0.118354261287737
312,21,1037,0.532449494949495
312,20,1038,0.546338383838384
312,19,1039,0.581002593544145
312,23,1040,0.520494451467903
312,25,1041,0.556748065258314
334,11,1042,0.0
334,10,1043,0.0
326,9,1044,0.007822388739811
312,15,1045,0.502907711757269
65,43,1046,0.012617360175339
326,6,1047,0.002014066246807
65,42,1048,0.036143027260146
326,13,1049,0.006581945217964
326,12,1050,0.005923750696167
334,12,1051,0.0
312,1,1052,0.0
819,12,1053,0.0
819,10,1054,0.0
818,19,1055,0.760510434234856
812,16,1056,0.761865089847533
883,37,1057,0.711086708825909
K141,31,1058,0.188910002438417
K20,16,1059,0.149827428373243
816,7,1060,0.0
811,7,1061,0.0
811,6,1062,0.0
887,20,1063,0.0
65,23,1064,0.020213786487598
K88,1,1065,0.0
65,22,1066,0.198144189290136
809,4,1067,0.017404412772372
K52,37,1068,0.0
K52,35,1069,0.005907927952507
K52,33,1070,0.002682226718743
K161,35,1071,0.367522585203528
K151,9,1072,0.0
K49,1,1073,0.103925171502371
K139,2,1074,0.003726730992749
K185,10,1075,0.0
323,21,1076,0.0
K182,20,1077,0.0
303,26,1078,0.109270638525247
K182,19,1079,0.0
K182,18,1080,0.0
K182,17,1081,0.0
K182,16,1082,0.091637723751002
325,35,1083,0.580016316193213
334,14,1084,0.0
334,13,1085,0.0
812,7,1086,0.754012489818083
819,8,1087,0.0
819,7,1088,0.0
818,8,1089,0.753507466739071
818,11,1090,0.756637447184209
881,20,1091,0.0
881,19,1092,3.0
883,45,1093,2.833333333333333
885,46,1094,0.0
885,48,1095,0.0
518,23,1096,0.797861662233452
518,24,1097,0.586367006353123
515,15,1098,0.007659623224156
323,18,1099,0.0
323,19,1100,0.0
887,19,1101,0.0
887,17,1102,0.0
888,19,1103,0.0
